,precision,recall,f1-score,support
grass,0.0,0.0,0.0,22.0
fire,0.0,0.0,0.0,9.0
water,0.0,0.0,0.0,8.0
bug,0.0,0.0,0.0,12.0
normal,0.0,0.0,0.0,5.0
poison,0.0,0.0,0.0,9.0
electric,0.0,0.0,0.0,15.0
fairy,0.0,0.0,0.0,1.0
fighting,0.0,0.0,0.0,8.0
psychic,0.0,0.0,0.0,23.0
ghost,0.0,0.0,0.0,8.0
rock,0.0,0.0,0.0,7.0
ground,0.0,0.0,0.0,30.0
ice,0.0,0.0,0.0,9.0
dragon,0.0,0.0,0.0,16.0
dark,0.125,0.16666666666666666,0.14285714285714288,12.0
steel,0.0,0.0,0.0,7.0
flying,0.15207373271889402,0.9705882352941176,0.26294820717131473,34.0
accuracy,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.14893617021276595
macro avg,0.015392985151049667,0.06318082788671024,0.022544741668247645,235.0
weighted avg,0.02838513579762722,0.14893617021276595,0.04533840322600177,235.0
